food_code,name_jp,name_norm,kcal,protein_g,fat_g,carb_g,fiber_g,sugar_g,sodium_mg,salt_g,vitaminA,vitaminD,vitaminE,vitaminK,vitaminB1,vitaminB2,niacin,vitaminB6,vitaminB12,folate,vitaminC,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,group_name,source
01172,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,こむぎ プレミックス粉 天ぷら用 バッター 揚げ,588.0,4.3,47.7,37.0,3.3,,79.0,0.2,0.0,,7.6,81.0,0.05,0.14,0.5,0.03,0.0,4.0,0.0,93.0,100.0,8.0,63.0,0.3,0.1,0.04,穀類,日本食品標準成分表（八訂）増補2023年から引用
01026,こむぎ　［パン類］　角形食パン　食パン,こむぎ 角形食パン 食パン,248.0,8.9,4.1,46.4,4.2,48.2,470.0,1.2,0.0,0.0,0.4,0.0,0.07,0.05,1.1,0.03,0.0,30.0,0.0,86.0,22.0,18.0,67.0,0.5,0.5,0.09,穀類,日本食品標準成分表（八訂）増補2023年から引用
01174,こむぎ　［パン類］　角形食パン　焼き,こむぎ 角形食パン 焼き,269.0,9.7,4.5,50.6,4.6,52.1,520.0,1.3,,,0.4,,0.07,0.05,1.2,0.03,,30.0,0.0,93.0,26.0,20.0,77.0,0.5,0.6,0.1,穀類,日本食品標準成分表（八訂）増補2023年から引用
01175,こむぎ　［パン類］　角形食パン　耳を除いたもの,こむぎ 角形食パン 耳を除いたもの,226.0,8.2,3.7,42.6,3.8,43.9,440.0,1.1,0.0,,0.3,,0.06,0.05,1.1,0.04,,17.0,0.0,78.0,20.0,16.0,61.0,0.4,0.4,0.08,穀類,日本食品標準成分表（八訂）増補2023年から引用
01176,こむぎ　［パン類］　角形食パン　耳,こむぎ 角形食パン 耳,273.0,9.7,4.5,50.8,4.7,,510.0,1.3,1.0,,0.4,,0.06,0.06,1.1,0.05,,27.0,0.0,92.0,23.0,18.0,73.0,0.5,0.6,0.1,穀類,日本食品標準成分表（八訂）増補2023年から引用
01206,こむぎ　［パン類］　食パン　リーンタイプ,こむぎ 食パン リーンタイプ,246.0,8.0,3.7,47.5,2.0,48.5,520.0,1.3,0.0,0.3,0.4,0.0,0.1,0.05,0.6,0.04,0.0,28.0,0.0,67.0,12.0,16.0,46.0,0.6,0.6,0.1,穀類,日本食品標準成分表（八訂）増補2023年から引用
01207,こむぎ　［パン類］　食パン　リッチタイプ,こむぎ 食パン リッチタイプ,256.0,7.8,6.0,45.6,1.7,46.6,400.0,1.0,55.0,0.3,0.3,2.0,0.09,0.09,0.8,0.05,0.1,42.0,0.0,88.0,25.0,15.0,62.0,0.6,0.7,0.09,穀類,日本食品標準成分表（八訂）増補2023年から引用
01205,こむぎ　［パン類］　山形食パン　食パン,こむぎ 山形食パン 食パン,246.0,7.8,3.5,47.9,1.8,49.0,490.0,1.3,0.0,0.0,0.4,0.0,0.08,0.06,0.8,0.05,0.0,34.0,0.0,76.0,18.0,16.0,51.0,0.6,0.6,0.1,穀類,日本食品標準成分表（八訂）増補2023年から引用
01028,こむぎ　［パン類］　コッペパン,こむぎ コッペパン,273.0,9.2,3.8,54.7,3.9,53.9,410.0,1.0,1.0,0.0,0.6,2.0,0.08,0.07,1.2,0.05,0.1,36.0,0.0,91.0,22.0,22.0,74.0,0.5,0.7,0.11,穀類,日本食品標準成分表（八訂）増補2023年から引用
01213,こむぎ　［パン類］　バンズ,こむぎ バンズ,274.0,10.4,4.8,50.6,4.2,51.2,470.0,1.2,0.0,,0.7,,0.11,0.06,1.6,0.05,,27.0,,97.0,29.0,21.0,85.0,0.6,0.7,0.11,穀類,日本食品標準成分表（八訂）増補2023年から引用
01030,こむぎ　［パン類］　乾パン,こむぎ 乾パン,386.0,9.5,4.4,78.8,3.1,82.2,490.0,1.2,0.0,0.0,1.1,0.0,0.14,0.06,0.9,0.06,0.0,20.0,0.0,160.0,30.0,27.0,95.0,1.2,0.6,0.18,穀類,日本食品標準成分表（八訂）増補2023年から引用
01031,こむぎ　［パン類］　フランスパン,こむぎ フランスパン,289.0,9.4,1.3,57.5,2.7,63.9,620.0,1.6,0.0,0.0,0.1,0.0,0.08,0.05,1.1,0.04,0.0,33.0,0.0,110.0,16.0,22.0,72.0,0.9,0.8,0.14,穀類,日本食品標準成分表（八訂）増補2023年から引用
01032,こむぎ　［パン類］　ライ麦パン,こむぎ ライ麦パン,252.0,8.4,2.2,52.7,5.6,,470.0,1.2,0.0,0.0,0.3,0.0,0.16,0.06,1.3,0.09,0.0,34.0,0.0,190.0,16.0,40.0,130.0,1.4,1.3,0.18,穀類,日本食品標準成分表（八訂）増補2023年から引用
01208,こむぎ　［パン類］　全粒粉パン,こむぎ 全粒粉パン,251.0,7.9,5.7,45.5,4.5,43.7,410.0,1.0,0.0,0.0,0.8,0.0,0.17,0.07,2.4,0.13,0.0,49.0,0.0,140.0,14.0,51.0,120.0,1.3,0.4,0.18,穀類,日本食品標準成分表（八訂）増補2023年から引用
01033,こむぎ　［パン類］　ぶどうパン,こむぎ ぶどうパン,263.0,8.2,3.5,51.1,2.2,,400.0,1.0,0.0,0.0,0.4,0.0,0.11,0.05,1.2,0.07,0.0,33.0,0.0,210.0,32.0,23.0,86.0,0.9,0.6,0.15,穀類,日本食品標準成分表（八訂）増補2023年から引用
01034,こむぎ　［パン類］　ロールパン,こむぎ ロールパン,309.0,10.1,9.0,48.6,2.0,49.7,490.0,1.2,1.0,0.1,0.5,0.0,0.1,0.06,1.3,0.03,0.0,38.0,0.0,110.0,44.0,22.0,97.0,0.7,0.8,0.12,穀類,日本食品標準成分表（八訂）増補2023年から引用
01209,こむぎ　［パン類］　クロワッサン　レギュラータイプ,こむぎ クロワッサン レギュラータイプ,406.0,6.5,20.4,51.5,1.9,52.3,530.0,1.4,37.0,1.4,2.6,7.0,0.11,0.09,0.9,0.05,0.1,46.0,0.0,110.0,27.0,14.0,65.0,0.4,0.5,0.08,穀類,日本食品標準成分表（八訂）増補2023年から引用
01035,こむぎ　［パン類］　クロワッサン　リッチタイプ,こむぎ クロワッサン リッチタイプ,438.0,7.9,26.8,43.9,1.8,,470.0,1.2,6.0,0.1,1.9,0.0,0.08,0.03,1.0,0.03,0.0,33.0,0.0,90.0,21.0,17.0,67.0,0.6,0.6,0.1,穀類,日本食品標準成分表（八訂）増補2023年から引用
01210,こむぎ　［パン類］　くるみパン,こむぎ くるみパン,292.0,8.2,12.6,38.7,2.4,38.4,310.0,0.8,16.0,0.1,0.4,2.0,0.11,0.09,0.8,0.11,0.0,45.0,0.0,150.0,35.0,33.0,88.0,0.8,0.9,0.23,穀類,日本食品標準成分表（八訂）増補2023年から引用
01036,こむぎ　［パン類］　イングリッシュマフィン,こむぎ イングリッシュマフィン,224.0,8.1,3.6,40.8,1.2,40.1,480.0,1.2,0.0,0.0,0.3,0.0,0.15,0.08,1.2,0.05,0.0,23.0,0.0,84.0,53.0,19.0,96.0,0.9,0.8,0.12,穀類,日本食品標準成分表（八訂）増補2023年から引用
01037,こむぎ　［パン類］　ナン,こむぎ ナン,257.0,10.3,3.4,47.6,2.0,45.6,530.0,1.3,0.0,0.0,0.6,0.0,0.13,0.06,1.3,0.05,0.0,36.0,0.0,97.0,11.0,22.0,77.0,0.8,0.7,0.11,穀類,日本食品標準成分表（八訂）増補2023年から引用
01148,こむぎ　［パン類］　ベーグル,こむぎ ベーグル,270.0,9.6,2.0,54.6,2.5,50.3,460.0,1.2,,,0.2,,0.19,0.08,2.0,0.06,,47.0,,97.0,24.0,24.0,81.0,1.3,0.7,0.11,穀類,日本食品標準成分表（八訂）増補2023年から引用
